카테고리,대표검색어(한글),대표검색어(영문),제외키워드(NOT) ★,문맥어(반드시 하나 포함) ★
sparklabs_self,김유진,Eugene Kim,,"스파크랩, 제너럴 파트너, 엑셀러레이터, 스타트업, 공동대표, SparkLabs, 공동창업자, 벤처캐피탈"
sparklabs_self,김호민,Jimmy Kim,,"스파크랩, 제너럴 파트너, 엑셀러레이터, 스타트업, 공동대표, SparkLabs, 공동창업자, Nexon, Nexonova, 벤처캐피탈"
sparklabs_self,이한주,John HanJoo Lee,,"스파크랩, 제너럴 파트너, 엑셀러레이터, 공동설립자, 스타트업, 호스트웨이, 벤처캐피탈, 뉴베리글로벌, SparkLabs"
sparklabs_self,버나드문,Bernard Moon,,"스파크랩, 제너럴 파트너, 엑셀러레이터, 스타트업, 공동대표, SparkLabs, 공동설립자, 벤처캐피탈, 글로벌"
sparklabs_self,스파크 바이오랩스,SparkBioLabs,,
sparklabs_self,스파크랩,SparkLabs,,
sparklabs_self,스파크랩 그룹,SparkLabs group,,
sparklabs_self,스파크랩 글로벌,SparkLabs Global,,
sparklabs_self,스파크랩 글로벌벤처스,SparkLabs Global Ventures,,
sparklabs_self,스파크랩 사우디,SparkLabs Saudi Arabia,,
sparklabs_self,스파크랩 컬티베이트,SparkLabs Cultiv8,,
sparklabs_self,스파크랩 타이완,SparkLabs Taiwan,,
sparklabs_self,스파크랩 파트너스,SparkLabs Partners,,
sparklabs_self,스파크랩 호주,,,
sparklabs_self,스파크바이오랩,SparkBioLabs,,
sparklabs_self,스파크클로,Spark Claw,,
